884090.9090909092, 1014563.1067961165
884469.696969697, 964077.6699029126
894696.9696969697, 962621.3592233009
895075.7575757576, 951456.3106796116
900000, 942233.0097087378
901136.3636363636, 939320.3883495146
904545.4545454546, 935436.8932038834
907196.9696969697, 933980.5825242718
907954.5454545455, 932038.8349514563
908712.1212121212, 929611.6504854369
910227.2727272727, 927184.4660194174
911742.4242424243, 922330.0970873786
912878.787878788, 916504.854368932
913257.5757575758, 908737.8640776699
921590.9090909092, 901941.7475728155
924621.2121212122, 898543.6893203883
926893.9393939395, 884466.0194174757
927651.5151515151, 883495.1456310679
937121.2121212122, 875242.7184466019
940530.3030303031, 873300.9708737864
943560.6060606061, 864077.6699029126
955303.0303030304, 861165.0485436893
963636.3636363636, 860194.1747572816
964393.9393939395, 856796.1165048543
965530.3030303031, 851456.3106796116
967803.0303030303, 849029.1262135922
971969.696969697, 847572.8155339805
973106.0606060607, 845145.6310679612
975000, 841747.572815534
977272.7272727273, 833980.5825242718
987500, 832038.8349514563
992045.4545454546, 831067.9611650485
993181.8181818182, 828640.7766990291
996969.696969697, 824757.2815533981
998484.8484848485, 819417.4757281553
1004545.4545454546, 817961.1650485437
1008712.1212121212, 815533.9805825243
1013257.5757575758, 815048.5436893203
1017803.0303030303, 811165.0485436893
1020454.5454545454, 810194.1747572816
1021969.696969697, 809223.3009708738
1026893.9393939395, 808252.427184466
1027651.5151515151, 799514.5631067961
1049621.2121212122, 796601.9417475727
1063636.3636363638, 794174.7572815535
1064015.1515151516, 790291.2621359223
1072727.2727272727, 788834.9514563107
1085984.8484848486, 789320.3883495146
1108712.1212121213, 786893.2038834952
