16979395.299675073, 20081370.514878273
17091096.52499576, 18884975.576231305
17768976.81155638, 18189844.23594709
17878537.96667232, 17974314.80780691
17900773.818067934, 17782882.918151017
18010543.760520924, 17471659.29386383
18490806.832565606, 17351084.606718604
18818080.983388357, 17350432.14629033
18840525.622121017, 17063306.060487434
18906137.042788357, 16991404.921291523
19037046.703117456, 16991143.937120214
19081100.831234585, 16799668.55010244
19168791.512794748, 16608106.168360889
19496170.057286024, 16559606.609859113
19518353.711847376, 16392098.269239971
19627758.276460532, 16248339.488210041
19715187.973849386, 16176394.85165225
19780799.39451672, 16104493.712456342
20043401.667688854, 15745118.508562457
20392859.473072957, 15576957.70751504
20589537.144572183, 15433024.937037569
20851408.662064645, 15408579.419658199
20939255.934127595, 15145246.390806397
21506531.12888703, 15144115.459397389
21593804.2357731, 15143941.469949847
21637701.773387443, 15024236.730042323
21921704.748606995, 14856206.421080561
22227578.19738233, 14664209.065720163
22445917.555100285, 14592003.444991061
22533556.039826185, 14424364.612286266
22708676.4187752, 14160857.593986925
22839533.882270038, 14184520.158852367
22927955.31950987, 13658028.090596307
23844479.532316364, 13584430.554286882
23888585.857267756, 13369031.618232356
24151031.5399371, 13081427.061448723
24391084.780708052, 13057025.041431239
24674878.968590554, 12984688.928616479
25569480.511007007, 12958981.987742445
25787715.47505644, 12934623.465086844
25897172.236503854, 12766941.135020161
26748137.225477275, 12741321.188869897
27097542.834027115, 12597083.936859231
27839573.029895738, 12499910.830408137
27948716.61033758, 12475769.79456196
28014484.621507704, 12332098.0082558
28101862.122062296, 12284076.920734758
