Final time of Execution: 0:00:08.181495
 10, 17, 6, 13, 15, 14, 1, 16, 18, 9, 12, 5]
[0, 5, 17, 14, 19, 12, 4, 13, 11, 7, 3, 2, 10, 8, 9, 18, 15, 6, 1, 16]
[7, 17, 5, 14, 9, 19, 8, 6, 4, 18, 1, 16, 2, 3, 10, 15, 0, 13, 11, 12]
[4, 12, 0, 9, 3, 11, 17, 10, 5, 15, 6, 2, 1, 16, 14, 8, 19, 18, 7, 13]
[3, 8, 9, 0, 1, 11, 14, 4, 7, 5, 2, 17, 10, 19, 16, 15, 18, 6, 12, 13]
[7, 10, 5, 4, 9, 2, 8, 11, 17, 18, 0, 16, 15, 1, 6, 3, 19, 14, 13, 12]
[0, 14, 2, 9, 13, 11, 10, 18, 15, 16, 19, 3, 8, 7, 5, 6, 17, 1, 4, 12]
[18, 5, 4, 7, 11, 13, 17, 19, 2, 1, 9, 15, 10, 3, 14, 0, 6, 16, 8, 12]
Generacion: 2
[0, 5, 17, 14, 19, 12, 4, 13, 11, 7, 3, 2, 10, 8, 9, 18, 15, 6, 1, 16]
[0, 5, 17, 14, 19, 12, 4, 13, 11, 7, 3, 2, 10, 8, 9, 18, 15, 6, 1, 16]
[0, 3, 11, 2, 8, 19, 4, 7, 10, 17, 6, 13, 15, 14, 1, 16, 18, 9, 12, 5]
[7, 17, 5, 14, 9, 19, 8, 6, 4, 18, 1, 16, 2, 3, 10, 15, 0, 13, 11, 12]
[7, 17, 5, 14, 9, 19, 8, 6, 4, 18, 1, 16, 2, 3, 10, 15, 0, 13, 11, 12]
[4, 12, 0, 9, 3, 11, 17, 10, 5, 15, 6, 2, 1, 16, 14, 8, 19, 18, 7, 13]
[4, 12, 0, 9, 3, 11, 17, 10, 5, 15, 6, 2, 1, 16, 14, 8, 19, 18, 7, 13]
[3, 8, 9, 0, 1, 11, 14, 4, 7, 5, 2, 17, 10, 19, 16, 15, 18, 6, 12, 13]
[3, 8, 9, 0, 1, 11, 14, 4, 7, 5, 2, 17, 10, 19, 16, 15, 18, 6, 12, 13]
[7, 10, 5, 4, 9, 2, 8, 11, 17, 18, 0, 16, 15, 1, 6, 3, 19, 14, 13, 12]
[0, 14, 2, 9, 13, 11, 10, 18, 15, 16, 19, 3, 8, 7, 5, 6, 17, 1, 4, 12]
[18, 5, 4, 7, 11, 13, 17, 19, 2, 1, 9, 15, 10, 3, 14, 0, 6, 16, 8, 12]
Generacion: 3
[8, 12, 11, 13, 4, 14, 19, 0, 6, 18, 15, 16, 5, 3, 9, 2, 1, 7, 17, 10]
[12, 5, 19, 7, 13, 11, 17, 4, 2, 18, 9, 15, 10, 3, 14, 0, 8, 16, 1, 6]
[7, 18, 19, 4, 13, 11, 12, 10, 0, 16, 6, 3, 14, 9, 5, 8, 17, 1, 15, 2]
[9, 3, 6, 17, 19, 0, 5, 18, 11, 1, 14, 16, 15, 13, 2, 7, 4, 12, 8, 10]
Generacion: 4
[12, 5, 19, 7, 13, 6, 17, 18, 2, 1, 9, 15, 10, 3, 14, 0, 4, 16, 8, 11]
[12, 19, 5, 7, 13, 11, 17, 4, 2, 18, 3, 15, 10, 9, 14, 0, 8, 16, 1, 6]
[12, 5, 19, 7, 13, 11, 17, 0, 2, 4, 9, 15, 10, 3, 14, 18, 1, 16, 8, 6]
[12, 19, 5, 7, 13, 6, 17, 4, 2, 18, 9, 15, 10, 3, 14, 0, 8, 16, 1, 11]
[19, 5, 12, 7, 13, 11, 17, 4, 2, 18, 9, 15, 10, 3, 14, 0, 8, 16, 1, 6]
[12, 8, 19, 7, 13, 11, 17, 0, 2, 1, 9, 15, 10, 3, 14, 18, 4, 16, 5, 6]
[9, 19, 5, 7, 13, 11, 17, 4, 2, 18, 12, 15, 10, 3, 14, 0, 8, 16, 1, 6]
Generacion: 5
[12, 5, 19, 8, 13, 6, 17, 18, 2, 1, 3, 15, 9, 4, 14, 0, 10, 16, 7, 11]
[3, 19, 5, 7, 13, 6, 17, 4, 2, 18, 12, 15, 10, 9, 14, 0, 8, 16, 1, 11]
[9, 19, 5, 7, 13, 11, 17, 4, 2, 18, 0, 15, 10, 3, 14, 12, 8, 16, 1, 6]
[12, 5, 19, 7, 13, 6, 17, 9, 2, 1, 10, 15, 18, 3, 14, 0, 4, 16, 8, 11]
[12, 5, 19, 7, 6, 13, 17, 18, 2, 4, 1, 15, 10, 3, 14, 0, 9, 16, 8, 11]
[12, 5, 19, 7, 13, 6, 17, 18, 2, 1, 8, 15, 9, 4, 14, 0, 10, 16, 3, 11]
[12, 5, 19, 7, 13, 6, 3, 17, 2, 1, 9, 15, 10, 18, 14, 0, 4, 16, 8, 11]
